byte: 2 | bit: 5 | key guess: 00 | Cor: 0.304771 ==> correct key: 0.304771
byte: 2 | bit: 6 | key guess: 00 | Cor: 0.212034 ==> correct key: 0.212034
byte: 2 | bit: 7 | key guess: 00 | Cor: 0.336030 ==> correct key: 0.336030
byte: 2 | bit: 8 | key guess: 00 | Cor: 0.375046 ==> correct key: 0.375046
byte: 2 | bit: 9 | key guess: 00 | Cor: 0.296875 ==> correct key: 0.296875
byte: 2 | bit: 10 | key guess: 00 | Cor: 0.299222 ==> correct key: 0.299222
byte: 2 | bit: 11 | key guess: 00 | Cor: 0.320557 ==> correct key: 0.320557
byte: 2 | bit: 12 | key guess: 00 | Cor: 0.398742 ==> correct key: 0.398742
byte: 2 | bit: 13 | key guess: 00 | Cor: 0.266145 ==> correct key: 0.266145
byte: 2 | bit: 14 | key guess: 00 | Cor: 0.297020 ==> correct key: 0.297020
byte: 2 | bit: 15 | key guess: 00 | Cor: 0.289071 ==> correct key: 0.289071
byte: 2 | bit: 16 | key guess: 00 | Cor: 0.283473 ==> correct key: 0.283473
byte: 2 | bit: 17 | key guess: 00 | Cor: 0.234404 ==> correct key: 0.234404
byte: 2 | bit: 18 | key guess: 61 | Cor: 0.298471 ==> correct key: 0.294761
byte: 2 | bit: 19 | key guess: b8 | Cor: 0.307698 ==> correct key: 0.274471
byte: 2 | bit: 20 | key guess: b3 | Cor: 0.418153 ==> correct key: 0.418153
byte: 2 | bit: 21 | key guess: 99 | Cor: 0.327829 ==> correct key: 0.250316
byte: 2 | bit: 22 | key guess: 43 | Cor: 0.301786 ==> correct key: 0.239216
byte: 2 | bit: 23 | key guess: 17 | Cor: 0.311307 ==> correct key: 0.287402
byte: 2 | bit: 24 | key guess: b3 | Cor: 0.380100 ==> correct key: 0.380100
byte: 2 | bit: 25 | key guess: 49 | Cor: 0.296923 ==> correct key: 0.284199
byte: 2 | bit: 26 | key guess: b3 | Cor: 0.304804 ==> correct key: 0.304804
byte: 2 | bit: 27 | key guess: 2f | Cor: 0.299578 ==> correct key: 0.270239
byte: 2 | bit: 28 | key guess: b3 | Cor: 0.317322 ==> correct key: 0.317322
byte: 2 | bit: 29 | key guess: 00 | Cor: 0.242254 ==> correct key: 0.242254
byte: 2 | bit: 30 | key guess: b3 | Cor: 0.357537 ==> correct key: 0.357537
byte: 2 | bit: 31 | key guess: 00 | Cor: 0.320401 ==> correct key: 0.320401
byte: 2 | bit: 32 | key guess: d7 | Cor: 0.297527 ==> correct key: 0.270239
byte: 2 | bit: 33 | key guess: 00 | Cor: 0.304771 ==> correct key: 0.304771
